Intermediate Zone - Data Zone 2011,All occupied household spaces,One person,Two people,Three people,Four people,Five people,Six people,Seven people,Eight or more people
S01012194,180,29,66,34,43,5,4,0,0
S01012195,414,98,147,83,71,17,4,0,0
S01012196,200,51,69,30,40,12,1,2,0
S01012197,311,110,105,41,42,7,5,1,0
S01012198,401,182,125,44,42,11,3,2,0
S01012199,295,106,88,53,27,14,5,2,0
S01012200,265,96,82,43,31,12,3,0,0
S01012201,311,102,96,55,46,8,2,0,0
S01012202,238,67,85,41,33,9,3,0,0
S01012203,317,94,134,40,38,9,0,1,0
S01012204,266,53,111,51,39,11,4,1,0
S01012205,291,87,127,35,32,6,1,2,0
S01012206,325,87,113,59,47,14,3,0,0
S01012207,397,138,103,77,61,12,4,0,0
S01012208,451,147,154,72,42,27,3,2,2
S01012209,318,116,77,56,48,18,3,1,0
S01012210,394,181,106,61,26,12,2,1,0
S01012211,407,141,123,69,56,15,0,0,0
S01012212,308,78,134,55,35,6,1,0,0
S01012213,336,89,167,40,38,5,0,0,0
S01012214,297,65,133,34,52,9,4,0,0
S01012215,326,81,128,60,47,11,0,0,0
S01012216,289,48,137,38,50,11,2,1,0
S01012217,263,111,85,35,26,9,0,0,1
S01012218,245,95,65,45,26,11,1,0,0
S01012219,406,165,124,68,35,17,0,0,0
S01012220,367,226,84,31,9,9,3,0,0
S01012221,299,137,67,52,26,8,0,0,2
S01012222,427,207,131,42,36,9,2,0,0
S01012223,354,170,108,40,28,6,0,0,1
S01012224,370,121,106,68,52,20,2,1,0
S01012225,456,198,112,73,42,23,5,0,0
S01012226,293,86,99,52,37,11,2,0,2
S01012227,263,81,76,57,29,16,4,0,0
S01012228,254,60,84,45,40,17,6,0,1
S01012229,322,124,130,32,20,11,0,0,0
S01012230,404,136,134,63,52,15,3,1,0
S01012231,282,46,115,49,56,14,2,0,0
S01012232,314,71,110,51,58,16,0,0,0
S01012233,333,59,135,48,69,21,0,0,0
S01012234,384,75,138,78,63,25,4,0,0
S01012235,217,42,102,31,34,7,2,0,0
S01012236,335,102,93,59,63,19,4,0,1
S01012237,312,68,115,52,57,19,1,0,0
S01012238,313,147,95,44,26,3,0,0,0
S01012239,267,111,93,40,18,4,0,0,1
S01012240,385,154,117,55,46,14,3,0,0
S01012241,226,54,98,31,36,8,1,0,0
S01012242,336,62,126,60,76,16,4,0,0
S01012243,249,53,77,40,57,13,4,1,0
S01012244,339,58,149,47,57,13,6,1,0
S01012245,342,122,130,49,36,5,4,0,0
S01012246,413,72,168,79,80,11,3,0,0
S01012247,320,73,144,60,29,6,3,0,5
S01012248,338,81,149,47,44,8,4,0,0
S01012249,387,111,167,47,45,14,1,0,2
S01012250,479,92,197,78,86,28,0,2,0
S01012251,506,210,163,74,42,12,3,0,2
S01012252,352,152,122,46,24,7,1,0,0
S01012253,512,295,140,31,34,10,1,1,1
S01012254,411,167,127,55,38,17,4,0,0
S01012255,500,290,143,33,29,6,0,0,0
S01012256,276,61,127,36,41,11,1,0,0
S01012257,427,130,178,56,51,12,5,0,0
S01012258,308,75,122,51,49,10,1,0,0
