Data Zone 2011,All occupied households,Whole house or bungalow: Total,Whole house or bungalow: Detached,Whole house or bungalow: Semi-detached,Whole house or bungalow: Terraced (including end-terrace),"Flat, maisonette or apartment: Total","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building",Caravan or other mobile or temporary structure
S01012749,383,276,22,127,132,103,100,3,0,0
S01012750,389,268,25,83,161,120,120,0,0,1
S01012751,414,300,12,166,118,114,114,0,0,0
S01012752,331,291,80,45,169,40,39,2,0,0
S01012753,215,188,26,27,139,27,27,0,0,0
S01012754,268,256,34,101,121,12,10,2,1,0
S01012755,251,127,10,71,46,123,114,8,1,1
S01012756,261,184,31,99,55,76,75,1,0,0
S01012757,204,128,5,65,56,76,76,0,0,0
S01012758,272,225,50,54,121,47,46,0,1,0
S01012759,357,253,22,66,165,101,101,3,0,0
S01012760,426,235,30,110,95,191,189,0,2,0
S01012761,354,249,40,42,164,108,108,0,0,0
S01012762,298,271,48,38,185,27,24,3,0,0
S01012763,189,173,9,27,137,15,15,0,1,2
S01012764,335,306,29,57,220,29,26,1,2,0
S01012765,290,285,68,107,110,6,5,0,1,0
S01012766,364,353,73,89,195,10,10,0,0,1
S01012767,221,220,58,160,2,1,1,0,0,0
S01012768,292,285,85,196,4,7,7,0,0,0
S01012769,145,141,87,42,12,7,7,0,0,0
S01012770,413,300,71,67,162,117,105,2,4,0
S01012771,295,168,27,82,47,131,128,4,0,0
S01012772,286,277,23,39,215,9,9,0,0,0
S01012773,416,361,59,168,137,55,53,2,0,0
S01012774,418,243,43,135,68,175,173,3,0,0
S01012775,208,149,17,118,12,59,58,0,2,0
S01012776,309,226,5,54,167,83,83,0,0,0
S01012777,390,321,83,151,84,69,64,2,4,0
S01012778,282,215,16,135,65,66,66,0,0,0
S01012779,228,105,6,46,53,126,126,0,0,0
S01012780,318,119,17,59,42,204,201,2,1,0
S01012781,414,257,77,91,87,156,152,3,4,0
S01012782,257,91,3,69,16,166,166,0,0,0
S01012783,326,121,7,108,6,205,201,2,2,0
S01012784,345,177,21,71,85,166,164,1,0,2
S01012785,370,102,7,61,31,272,264,7,0,1
S01012786,365,32,10,14,8,333,330,3,2,0
