Intermediate Zone - Data Zone 2011,White: Total,Mixed or multiple ethnic group,"Asian, Asian Scottish or Asian British: Total",African: Total,Caribbean or Black: Total,Other ethnic groups: Total
S01006950,768,9,7,6,4,1
S01006951,434,0,2,4,1,0
S01006952,840,15,15,5,2,3
S01006953,759,6,14,1,0,0
S01006954,831,13,28,0,0,14
S01006955,528,7,6,5,0,1
S01006956,941,18,32,16,0,5
S01006957,1033,8,20,14,5,0
S01006958,1332,9,18,5,0,6
S01006959,675,4,4,2,0,4
S01006960,936,2,11,2,0,1
S01006961,903,11,21,2,0,6
S01006962,801,5,2,0,0,4
S01006963,610,13,13,0,1,2
S01006964,666,3,12,4,0,1
S01006965,445,1,1,0,2,5
S01006966,552,0,1,0,0,4
S01006967,603,0,9,0,0,1
S01006968,414,3,1,0,0,1
S01006969,813,1,7,8,1,3
S01006970,624,18,10,0,0,3
S01006971,490,8,4,6,2,0
S01006972,702,5,21,0,0,5
S01006973,784,3,10,11,4,0
S01006974,931,10,4,11,1,5
S01006975,1017,12,17,0,0,2
S01006976,456,3,4,0,0,0
S01006977,752,1,8,0,2,3
S01006978,983,8,8,0,2,0
S01006979,998,7,3,6,2,2
S01006980,875,6,5,4,2,1
S01006981,784,5,8,2,0,0
S01006982,906,7,2,0,0,0
S01006983,675,7,4,0,0,1
S01006984,921,11,13,10,6,3
S01006985,963,9,10,1,2,6
S01006986,761,6,3,5,1,2
S01006987,622,3,1,0,0,0
S01006988,481,1,5,3,0,1
S01006989,1265,10,12,0,3,3
S01006990,814,12,9,5,4,6
S01006991,423,0,1,2,0,0
S01006992,607,1,5,1,0,0
S01006993,529,8,0,0,2,5
S01006994,537,10,1,2,2,5
S01006995,878,5,0,0,0,2
S01006996,947,3,7,0,0,0
S01006997,797,8,3,0,0,4
S01006998,1345,8,3,1,1,0
S01006999,865,2,2,2,0,0
S01007000,947,3,4,0,1,0
S01007001,1050,3,4,0,0,0
S01007002,665,10,9,0,0,2
S01007003,528,1,0,0,0,0
S01007004,770,4,3,1,0,0
S01007005,901,1,4,3,1,0
S01007006,841,4,5,0,1,3
S01007007,793,1,3,0,0,2
S01007008,988,7,6,0,1,0
S01007009,988,7,8,0,4,0
S01007010,756,4,9,0,0,2
S01007011,777,2,9,3,0,0
S01007012,662,1,7,0,0,1
S01007013,521,0,4,0,0,0
S01007014,1038,3,9,1,2,1
S01007015,623,7,7,0,0,1
S01007016,568,2,4,1,0,0
S01007017,947,3,2,1,0,4
S01007018,821,1,9,0,0,1
S01007019,519,5,10,0,2,2
S01007020,636,3,4,0,0,4
S01007021,806,2,6,6,0,0
S01007022,452,1,1,4,0,0
S01007023,475,0,1,2,0,1
S01007024,988,5,5,0,0,1
S01007025,847,2,6,0,0,2
S01007026,850,5,6,0,1,2
S01007027,1023,5,6,2,1,0
S01007028,1182,7,3,1,0,1
S01007029,554,0,1,1,0,0
S01007030,792,2,0,0,0,0
S01007031,596,1,0,0,0,1
S01007032,930,1,4,2,1,0
S01007033,586,1,3,0,1,1
S01007034,500,2,7,0,3,3
S01007035,800,6,16,0,0,3
S01007036,881,9,3,0,0,1
S01007037,867,1,1,0,0,0
S01007038,598,5,11,0,0,0
S01007039,984,6,10,2,0,1
S01007040,583,6,1,0,0,0
S01007041,705,3,2,0,0,1
S01007042,755,5,2,0,0,1
S01007043,943,5,6,0,0,4
S01007044,638,1,5,1,0,1
S01007045,785,4,6,0,0,1
S01007046,557,1,0,0,0,1
S01007047,590,1,0,1,0,2
S01007048,804,5,1,3,0,0
S01007049,898,8,20,0,3,4
S01007050,660,4,5,2,1,0
S01007051,737,7,3,2,2,0
S01007052,990,6,7,1,0,4
S01007053,523,5,3,0,1,0
S01007054,950,6,2,0,3,0
S01007055,593,5,1,0,0,0
S01007056,681,1,6,0,1,3
S01007057,498,0,1,0,0,1
S01007058,516,2,5,5,0,0
S01007059,1003,1,11,2,1,5
S01007060,483,5,3,2,0,1
S01007061,916,15,2,2,0,2
S01007062,672,9,6,2,0,4
S01007063,663,1,1,0,0,2
S01007064,984,5,1,0,1,1
S01007065,608,2,4,3,3,0
S01007066,844,4,4,2,10,4
S01007067,467,2,0,0,0,0
S01007068,642,4,15,1,0,5
S01007069,801,3,21,3,0,0
S01007070,471,1,17,2,0,0
S01007071,764,8,8,1,1,2
S01007072,621,6,1,5,0,4
S01007073,1053,11,12,2,0,4
S01007074,568,4,2,7,0,0
S01007075,683,0,1,2,0,4
S01007076,658,3,2,0,0,3
S01007077,687,5,2,8,0,11
S01007078,721,1,14,0,0,3
S01007079,872,8,10,6,0,1
S01007080,740,3,14,0,0,3
S01007081,707,2,4,2,1,12
S01007082,487,4,9,0,0,2
S01007083,980,17,10,3,0,0
S01007084,562,1,8,0,0,2
S01007085,846,6,15,20,3,15
S01007086,1060,18,27,0,2,12
S01007087,900,20,4,2,0,5
S01007088,502,5,13,0,0,8
S01007089,478,1,0,0,0,0
S01007090,430,0,3,0,2,1
S01007091,811,7,19,0,1,2
S01007092,537,4,2,0,0,2
S01007093,859,0,3,0,0,0
S01007094,863,0,0,0,0,0
S01007095,544,8,0,0,0,5
S01007096,917,7,0,0,1,1
