Intermediate Zone - Data Zone 2011,White: Total,Mixed or multiple ethnic group,"Asian, Asian Scottish or Asian British: Total",African: Total,Caribbean or Black: Total,Other ethnic groups: Total
S01011725,553,1,3,0,0,2
S01011726,526,1,5,0,0,2
S01011727,766,5,74,1,2,1
S01011728,858,5,1,0,0,1
S01011729,613,0,4,0,0,2
S01011730,730,4,3,2,0,1
S01011731,797,10,5,1,0,2
S01011732,635,4,5,0,0,1
S01011733,719,5,0,0,0,1
S01011734,713,6,4,7,0,0
S01011735,652,3,5,1,0,0
S01011736,640,9,16,0,1,2
S01011737,652,5,8,5,10,2
S01011738,942,12,36,11,0,9
S01011739,652,10,5,0,0,0
S01011740,747,8,15,35,10,5
S01011741,651,1,13,12,0,6
S01011742,724,0,1,5,0,0
S01011743,704,3,9,0,0,0
S01011744,870,9,10,10,2,2
S01011745,796,6,5,8,0,3
S01011746,501,4,19,17,0,1
S01011747,818,8,65,8,2,5
S01011748,670,3,7,18,7,7
S01011749,534,14,36,24,0,10
S01011750,806,12,7,4,2,6
S01011751,594,7,13,1,0,14
S01011752,859,14,5,5,1,2
S01011753,791,0,16,2,1,1
S01011754,706,3,0,9,0,5
S01011755,854,0,1,1,0,7
S01011756,897,3,6,0,0,1
S01011757,697,8,1,1,1,0
S01011758,533,5,0,0,3,1
S01011759,738,5,20,0,4,0
S01011760,822,7,19,1,0,2
S01011761,642,6,8,1,2,2
S01011762,573,3,9,22,0,3
S01011763,744,2,1,1,0,1
S01011764,316,5,10,0,0,0
S01011765,829,7,17,1,0,3
S01011766,534,4,13,0,0,2
S01011767,718,6,37,0,0,0
S01011768,782,14,21,3,2,8
S01011769,606,4,22,0,0,6
S01011770,767,5,11,3,0,3
S01011771,572,0,27,0,0,4
S01011772,906,14,40,2,7,5
S01011773,516,3,4,2,0,1
S01011774,791,8,36,0,0,4
S01011775,632,0,7,5,0,3
S01011776,1046,16,66,6,0,2
S01011777,580,4,4,0,0,0
S01011778,589,4,21,0,1,10
S01011779,690,0,10,0,0,0
S01011780,816,1,43,0,0,2
S01011781,481,0,8,0,0,3
S01011782,527,4,15,0,1,0
S01011783,438,6,11,1,0,2
S01011784,781,3,13,0,0,1
S01011785,727,3,23,5,1,0
S01011786,428,8,12,1,0,8
S01011787,979,8,8,10,0,10
S01011788,599,10,77,0,0,10
S01011789,2505,18,82,8,0,3
S01011790,1307,4,14,4,0,1
S01011791,638,6,3,3,0,0
S01011792,990,6,7,2,0,1
S01011793,1172,8,12,3,0,0
S01011794,780,1,13,2,2,4
S01011795,523,0,0,0,0,3
S01011796,779,2,7,2,1,0
S01011797,926,4,0,0,0,0
S01011798,521,1,10,3,1,1
S01011799,820,1,1,8,0,1
S01011800,537,3,1,1,0,0
S01011801,526,1,0,3,0,2
S01011802,638,1,1,4,0,7
S01011803,743,5,15,4,0,0
S01011804,643,4,2,0,0,0
S01011805,481,6,4,6,2,2
S01011806,874,1,3,4,0,0
S01011807,1072,3,4,0,0,1
S01011808,712,4,0,1,1,2
S01011809,765,5,0,0,0,0
S01011810,952,5,5,1,1,8
S01011811,959,2,3,0,0,1
S01011812,622,13,4,0,0,0
S01011813,780,3,0,3,0,0
S01011814,811,1,1,0,3,1
S01011815,1065,7,3,0,0,1
S01011816,790,4,2,1,0,0
S01011817,1311,10,5,1,0,1
S01011818,926,6,3,0,0,2
S01011819,750,5,6,1,0,6
S01011820,851,1,4,2,0,0
S01011821,312,2,1,0,0,1
S01011822,573,7,18,2,0,6
S01011823,589,7,6,1,0,1
S01011824,619,1,7,0,0,2
S01011825,478,5,2,0,0,0
S01011826,600,11,0,4,7,1
S01011827,491,3,0,0,0,0
S01011828,986,1,3,0,0,0
S01011829,450,0,1,0,0,4
S01011830,538,7,13,0,0,3
S01011831,855,14,5,1,0,6
S01011832,756,7,4,0,0,6
S01011833,917,3,10,2,0,2
S01011834,1079,8,24,0,0,6
S01011835,822,7,30,6,1,2
S01011836,811,12,0,3,0,1
S01011837,622,3,3,1,0,0
S01011838,955,7,4,3,0,1
S01011839,901,5,6,1,0,4
S01011840,1133,5,6,2,0,0
S01011841,867,4,8,1,0,1
S01011842,921,11,19,0,2,1
S01011843,1220,10,25,3,0,2
S01011844,938,7,10,0,1,2
S01011845,851,15,10,2,0,3
S01011846,950,12,7,0,0,1
S01011847,435,9,1,2,0,0
S01011848,684,7,7,0,0,1
S01011849,989,10,9,2,1,0
S01011850,1304,19,25,7,0,3
S01011851,802,0,2,0,0,2
S01011852,971,0,28,0,0,4
S01011853,808,4,14,3,0,1
S01011854,815,4,7,3,0,1
S01011855,775,6,6,4,0,0
S01011856,669,8,0,0,0,0
S01011857,664,7,4,0,0,1
S01011858,877,0,3,0,1,1
S01011859,832,2,4,1,0,0
S01011860,430,3,8,0,0,1
S01011861,675,10,2,2,0,1
S01011862,889,6,24,0,0,1
S01011863,753,5,6,0,0,1
S01011864,758,5,3,4,0,3
S01011865,570,1,0,0,0,6
S01011866,762,5,0,0,0,4
S01011867,972,8,13,3,1,0
S01011868,821,4,19,0,1,6
S01011869,734,15,17,1,1,6
S01011870,701,2,7,0,1,0
S01011871,2011,29,26,3,0,14
S01011872,898,6,0,2,1,1
S01011873,748,1,11,1,0,0
S01011874,619,2,8,1,1,1
S01011875,700,0,6,5,0,1
S01011876,944,5,9,0,0,1
S01011877,519,5,8,0,0,0
S01011878,2084,55,80,8,1,11
S01011879,565,7,1,1,1,1
S01011880,583,4,1,1,1,0
S01011881,888,9,14,1,4,2
S01011882,885,2,11,2,2,3
S01011883,1375,12,6,8,1,1
S01011884,451,1,2,0,0,1
S01011885,705,6,3,0,0,4
S01011886,782,1,2,1,0,3
S01011887,562,11,7,2,0,3
S01011888,802,8,15,1,1,0
S01011889,818,8,10,0,1,1
S01011890,612,11,8,0,1,2
S01011891,1039,12,19,4,0,2
S01011892,829,9,27,3,0,4
S01011893,1011,22,43,1,0,16
S01011894,565,8,20,4,0,3
S01011895,554,6,13,1,1,0
S01011896,840,10,7,0,0,1
S01011897,1037,10,12,0,0,0
S01011898,684,7,3,11,0,3
S01011899,688,14,13,0,1,5
S01011900,694,4,17,0,0,0
S01011901,836,6,13,0,0,17
S01011902,989,8,6,0,0,2
S01011903,811,4,5,6,0,9
S01011904,743,7,22,1,0,3
S01011905,653,0,22,1,0,2
S01011906,363,1,11,2,0,2
S01011907,644,6,23,1,1,5
S01011908,696,7,37,3,0,9
S01011909,971,10,29,8,0,7
S01011910,796,9,11,0,0,5
S01011911,624,0,3,0,0,0
S01011912,642,4,22,0,0,2
S01011913,563,2,21,2,0,4
S01011914,828,10,54,7,2,10
S01011915,807,6,15,0,0,5
S01011916,467,3,10,0,0,2
S01011917,517,0,8,0,0,1
S01011918,850,9,8,2,1,5
S01011919,833,14,12,0,0,9
S01011920,548,3,6,0,7,2
S01011921,564,1,3,6,0,1
S01011922,609,8,20,3,0,8
S01011923,888,4,13,1,0,8
S01011924,380,4,12,2,0,3
S01011925,751,8,23,1,0,7
S01011926,626,4,10,1,0,7
S01011927,573,5,5,3,0,0
S01011928,641,9,1,0,1,1
S01011929,571,4,4,4,0,5
S01011930,632,5,0,5,0,10
S01011931,1398,21,69,10,0,18
S01011932,532,7,10,1,0,5
S01011933,572,9,21,17,0,2
S01011934,752,12,18,15,1,7
S01011935,732,18,43,2,1,6
S01011936,689,12,24,7,0,10
S01011937,514,6,46,12,1,6
S01011938,567,5,12,4,4,2
S01011939,618,8,41,1,1,1
S01011940,437,7,79,6,0,23
S01011941,621,15,49,5,0,23
S01011942,720,9,71,12,4,21
S01011943,1026,36,88,12,4,10
S01011944,484,4,3,0,0,1
S01011945,724,12,8,0,0,1
S01011946,695,11,12,0,1,2
S01011947,479,1,10,2,0,0
S01011948,1090,13,23,4,4,4
S01011949,802,11,4,0,0,5
S01011950,720,6,3,0,2,8
S01011951,661,1,4,0,0,2
S01011952,477,2,0,0,1,0
S01011953,885,9,9,0,0,2
S01011954,495,1,0,0,0,0
S01011955,1032,12,1,1,1,6
S01011956,918,5,9,4,0,5
S01011957,708,5,8,12,0,4
S01011958,1306,7,8,2,0,7
S01011959,852,3,6,1,1,0
S01011960,949,8,13,2,0,6
S01011961,852,5,2,2,0,5
S01011962,670,16,4,4,0,6
S01011963,619,7,1,1,0,6
S01011964,987,6,6,3,0,9
S01011965,747,4,5,5,0,1
S01011966,792,3,9,0,0,2
S01011967,1192,14,19,3,0,3
S01011968,913,20,27,6,0,15
S01011969,983,8,8,2,1,8
S01011970,781,18,6,6,2,11
S01011971,655,0,0,0,0,1
S01011972,993,6,4,0,0,7
S01011973,689,3,0,1,0,1
S01011974,856,4,1,1,1,1
S01011975,426,15,4,2,2,1
S01011976,724,4,2,0,0,2
S01011977,1105,3,2,1,0,7
S01011978,733,7,5,1,0,0
S01011979,1327,3,11,0,4,6
S01011980,698,1,1,0,0,0
S01011981,851,3,8,5,2,0
S01011982,945,2,2,12,0,1
S01011983,727,2,0,0,0,0
S01011984,669,6,22,0,1,0
S01011985,599,8,2,0,0,2
S01011986,561,4,4,5,0,2
S01011987,1039,14,8,0,0,0
S01011988,542,2,6,2,0,2
S01011989,747,0,12,0,0,1
S01011990,968,3,4,0,0,5
S01011991,664,4,5,2,0,0
S01011992,978,10,9,2,2,5
S01011993,715,2,5,1,1,4
S01011994,813,1,3,0,0,0
S01011995,1124,5,11,0,0,5
S01011996,460,0,0,1,0,0
S01011997,810,5,1,5,2,4
S01011998,558,4,1,0,6,1
S01011999,603,5,1,0,0,2
S01012000,430,6,0,1,0,0
S01012001,638,3,6,0,0,0
S01012002,495,2,0,0,0,3
S01012003,523,9,3,0,0,1
S01012004,904,3,0,0,0,5
S01012005,770,7,10,4,0,0
S01012006,1686,49,46,11,3,6
S01012007,776,2,5,0,0,6
S01012008,943,15,21,2,1,3
S01012009,610,5,4,0,0,0
S01012010,1191,11,10,1,3,9
S01012011,993,13,9,0,0,4
S01012012,673,11,8,5,0,1
S01012013,749,11,5,0,1,6
S01012014,743,9,3,1,2,2
S01012015,931,7,6,5,0,0
S01012016,617,10,4,0,0,2
S01012017,490,6,5,0,0,5
S01012018,775,11,13,1,2,3
S01012019,954,16,5,0,0,3
S01012020,621,5,2,0,0,0
S01012021,506,3,1,4,1,1
S01012022,636,5,1,2,1,2
S01012023,435,0,4,0,1,0
S01012024,826,9,10,1,1,0
S01012025,774,6,9,0,0,0
S01012026,1022,15,34,5,0,2
S01012027,905,1,14,9,2,2
S01012028,868,9,12,0,0,7
S01012029,2541,23,80,1,2,3
S01012030,5615,62,141,23,6,18
S01012031,748,9,31,0,0,0
S01012032,391,8,3,0,0,5
S01012033,794,0,5,2,0,0
S01012034,737,8,7,1,2,0
S01012035,816,10,5,2,2,0
S01012036,774,1,0,0,0,0
S01012037,1135,13,7,7,1,4
S01012038,837,2,7,10,0,2
S01012039,1001,1,2,4,0,0
S01012040,626,0,15,0,1,1
S01012041,861,4,4,0,0,3
S01012042,1182,3,14,4,2,4
S01012043,819,13,4,26,0,6
S01012044,884,4,7,2,2,2
S01012045,1002,4,16,41,0,2
S01012046,668,4,4,4,1,3
S01012047,715,3,10,8,0,10
S01012048,730,3,4,7,1,2
S01012049,589,0,3,1,1,1
S01012050,875,1,4,0,2,1
S01012051,508,2,23,0,0,1
S01012052,779,4,9,5,0,0
S01012053,806,1,3,5,2,2
S01012054,599,4,15,2,0,1
S01012055,884,2,6,4,0,7
S01012056,700,3,2,2,1,0
S01012057,721,1,32,1,0,1
S01012058,632,3,15,3,0,2
S01012059,772,5,2,6,1,1
S01012060,819,8,3,1,0,0
S01012061,876,10,10,8,0,2
S01012062,1335,17,43,14,1,9
S01012063,525,9,6,7,0,8
S01012064,587,3,15,31,0,4
S01012065,578,2,22,47,0,9
S01012066,855,9,43,28,5,15
S01012067,494,1,10,3,0,8
S01012068,417,2,21,26,0,10
S01012069,368,0,16,12,0,0
S01012070,578,19,17,42,0,19
S01012071,1037,11,99,107,6,46
S01012072,988,29,43,54,4,13
S01012073,867,8,37,21,0,1
S01012074,616,2,23,5,0,0
S01012075,587,3,12,0,0,0
S01012076,781,1,12,1,0,1
S01012077,744,6,14,10,4,6
S01012078,852,8,10,7,0,5
S01012079,790,12,6,9,0,3
S01012080,678,9,16,53,3,8
S01012081,723,5,6,25,0,8
S01012082,558,2,0,5,4,5
S01012083,689,7,1,6,2,0
S01012084,512,2,3,0,0,1
S01012085,675,9,3,1,0,3
S01012086,811,2,7,8,0,8
S01012087,827,3,13,7,0,2
S01012088,632,0,22,2,0,0
S01012089,764,0,19,5,0,0
S01012090,802,6,10,0,0,0
S01012091,494,2,0,0,0,0
S01012092,444,5,10,2,0,7
S01012093,403,0,1,5,0,0
S01012094,780,4,28,0,0,1
S01012095,991,0,20,5,0,5
S01012096,836,4,3,0,2,1
S01012097,705,1,22,3,3,1
S01012098,580,2,1,0,0,1
S01012099,752,7,14,5,0,0
S01012100,1264,11,10,3,0,2
S01012101,692,2,15,0,0,1
S01012102,606,3,24,6,2,3
S01012103,833,6,22,23,1,0
S01012104,832,4,13,12,0,0
S01012105,1021,9,24,5,2,3
S01012106,959,29,21,7,1,3
S01012107,662,5,39,3,1,0
S01012108,740,2,1,2,0,6
S01012109,888,16,40,45,3,13
S01012110,791,1,20,26,0,5
S01012111,673,11,21,23,0,11
S01012112,687,4,11,10,0,10
S01012113,947,12,13,0,0,10
S01012114,764,7,12,0,0,4
S01012115,490,4,5,20,2,12
S01012116,631,8,6,1,0,2
S01012117,1378,11,24,1,2,8
S01012118,552,1,19,0,0,0
S01012119,809,4,12,4,0,2
S01012120,1013,10,70,17,4,5
S01012121,1019,7,37,24,5,2
S01012122,720,3,5,3,1,0
S01012123,485,10,51,0,0,3
S01012124,411,4,8,5,0,8
S01012125,675,11,28,19,0,15
S01012126,665,20,25,17,1,2
S01012127,1342,26,112,92,4,23
S01012128,488,17,36,16,1,15
S01012129,613,11,19,16,1,6
S01012130,1023,11,27,25,1,8
S01012131,1060,25,114,109,1,21
S01012132,688,10,61,46,5,20
S01012133,530,7,19,30,2,25
S01012134,988,6,22,12,0,14
S01012135,828,11,26,45,10,2
S01012136,653,17,46,24,3,18
S01012137,836,26,56,13,2,22
S01012138,870,20,8,4,0,7
S01012139,879,2,24,2,0,2
S01012140,538,4,11,0,0,1
S01012141,880,18,23,0,0,4
S01012142,852,6,13,0,2,1
S01012143,811,0,23,0,0,2
S01012144,963,3,13,11,0,12
S01012145,965,5,11,10,0,0
S01012146,826,12,46,11,0,9
S01012147,689,8,27,12,0,4
S01012148,570,4,19,21,0,8
S01012149,738,5,85,13,1,8
S01012150,799,7,30,40,3,10
S01012151,522,5,10,19,0,0
S01012152,603,0,19,8,1,0
S01012153,830,11,26,43,3,14
S01012154,614,6,26,32,3,5
S01012155,584,3,33,12,0,5
S01012156,1124,12,54,59,5,24
S01012157,931,12,33,52,2,15
S01012158,1161,18,79,2,1,11
S01012159,484,0,2,0,0,2
S01012160,605,4,7,0,0,0
S01012161,355,2,43,12,0,9
S01012162,984,5,114,13,1,4
S01012163,727,5,79,14,0,4
S01012164,950,4,51,1,0,2
S01012165,850,8,2,8,0,14
S01012166,511,10,28,12,0,3
S01012167,665,1,16,0,0,14
S01012168,663,5,12,3,0,0
S01012169,771,0,12,0,0,7
S01012170,985,9,22,11,0,7
S01012171,897,3,70,11,1,5
S01012172,560,9,34,9,0,2
S01012173,616,7,27,1,1,0
S01012174,763,7,84,5,0,5
S01012175,594,6,27,1,0,25
S01012176,634,4,68,0,0,3
S01012177,534,5,54,4,0,4
S01012178,494,6,20,0,0,6
S01012179,436,8,57,15,0,10
S01012180,606,4,24,0,0,1
S01012181,656,5,33,2,0,4
S01012182,2394,24,318,26,2,45
S01012183,1126,20,113,20,3,15
S01012184,917,18,98,4,4,13
S01012185,762,47,82,15,3,8
S01012186,662,5,17,0,0,1
S01012187,575,3,18,3,1,14
S01012188,558,8,5,1,1,0
S01012189,565,6,5,0,0,0
S01012190,495,0,5,4,2,0
S01012191,671,6,12,0,0,0
S01012192,646,5,12,2,0,1
S01012193,454,0,4,0,0,0
S01012194,468,1,9,1,0,0
S01012195,1008,1,6,3,0,1
S01012196,483,0,13,0,0,0
S01012197,660,7,12,3,0,1
S01012198,793,5,26,5,0,1
S01012199,652,3,4,2,0,2
S01012200,578,5,4,0,0,1
S01012201,700,2,4,1,0,0
S01012202,540,3,9,2,0,0
S01012203,673,1,16,0,0,0
S01012204,644,0,8,0,0,0
S01012205,588,4,20,0,0,0
S01012206,756,5,1,1,1,4
S01012207,906,2,4,0,0,4
S01012208,1007,14,3,2,2,0
S01012209,728,4,7,0,1,2
S01012210,749,1,12,0,0,6
S01012211,884,6,12,0,4,2
S01012212,669,7,4,1,0,1
S01012213,719,2,0,2,0,0
S01012214,708,1,2,0,0,0
S01012215,746,3,0,0,1,0
S01012216,694,3,11,2,0,0
S01012217,499,9,4,17,3,9
S01012218,494,2,4,23,0,0
S01012219,823,7,1,1,0,0
S01012220,561,5,10,5,1,5
S01012221,587,4,4,7,1,5
S01012222,837,11,1,10,2,0
S01012223,637,3,4,7,0,11
S01012224,821,7,16,11,0,17
S01012225,903,14,14,18,0,11
S01012226,672,0,0,2,0,0
S01012227,606,9,6,3,0,0
S01012228,658,0,2,0,0,2
S01012229,605,10,16,0,3,4
S01012230,868,1,14,6,0,9
S01012231,698,6,24,0,0,1
S01012232,766,5,10,0,1,0
S01012233,814,4,23,0,0,7
S01012234,972,9,11,2,1,1
S01012235,506,6,2,1,1,0
S01012236,778,8,15,0,1,7
S01012237,763,8,7,0,0,4
S01012238,553,10,19,0,0,1
S01012239,487,10,13,4,0,3
S01012240,797,5,18,0,0,4
S01012241,506,13,3,0,0,4
S01012242,834,22,8,9,0,5
S01012243,662,6,5,0,3,1
S01012244,845,12,4,6,0,2
S01012245,704,6,9,0,0,1
S01012246,1011,20,5,0,0,2
S01012247,761,3,6,2,0,3
S01012248,803,10,5,0,2,2
S01012249,849,3,5,0,0,0
S01012250,1181,12,12,0,0,4
S01012251,1012,8,0,0,0,0
S01012252,671,3,1,0,0,0
S01012253,840,6,8,8,0,10
S01012254,810,24,9,1,0,6
S01012255,837,7,5,3,0,1
S01012256,635,4,0,2,0,1
S01012257,904,8,4,3,1,0
S01012258,715,6,0,1,0,0
S01012259,670,1,2,2,0,1
S01012260,935,4,7,0,3,0
S01012261,857,5,5,0,0,0
S01012262,1254,10,2,1,0,2
S01012263,694,9,1,4,1,1
S01012264,436,8,6,0,0,2
S01012265,789,6,2,0,0,0
S01012266,1086,8,1,0,1,0
S01012267,806,2,1,0,0,1
S01012268,698,6,5,1,0,0
S01012269,977,1,0,0,0,0
S01012270,769,3,5,0,0,10
S01012271,2091,22,21,7,1,11
S01012272,688,12,8,0,0,4
S01012273,855,6,13,2,3,3
S01012274,899,4,7,2,0,3
S01012275,750,10,23,2,0,6
S01012276,1009,15,12,4,0,5
S01012277,1044,5,18,2,0,1
S01012278,707,8,17,2,0,1
S01012279,696,2,11,6,6,16
S01012280,904,14,5,1,0,0
S01012281,643,3,10,3,0,1
S01012282,1011,6,28,1,0,2
S01012283,862,8,19,1,0,8
S01012284,752,5,12,0,0,4
S01012285,566,6,9,0,0,2
S01012286,931,14,2,0,1,4
S01012287,696,8,7,1,0,1
S01012288,723,6,10,4,0,0
S01012289,884,7,7,1,0,4
S01012290,552,7,4,1,0,0
S01012291,1105,7,25,8,0,5
S01012292,716,13,18,3,3,5
S01012293,450,2,7,0,0,2
S01012294,830,6,5,0,0,8
S01012295,715,6,14,0,1,5
S01012296,976,4,7,4,0,3
S01012297,709,1,1,0,1,0
S01012298,887,0,0,0,0,3
S01012299,654,6,0,0,0,0
S01012300,596,2,0,6,0,2
S01012301,882,3,0,1,2,1
S01012302,600,7,4,3,2,0
S01012303,952,18,7,1,0,6
S01012304,1021,12,16,2,1,3
S01012305,917,2,10,0,0,2
S01012306,578,5,11,3,2,8
S01012307,578,3,6,0,2,2
S01012308,886,10,0,0,1,3
S01012309,647,1,0,0,1,0
S01012310,1124,9,4,0,2,1
S01012311,508,4,4,0,0,0
S01012312,1036,2,2,1,0,0
S01012313,710,9,2,0,1,0
S01012314,861,4,2,1,0,0
S01012315,686,5,10,0,0,2
S01012316,593,4,1,0,0,2
S01012317,623,7,10,0,0,0
S01012318,789,3,0,4,0,0
S01012319,703,3,5,0,0,0
S01012320,609,9,1,0,0,2
S01012321,941,9,6,0,0,7
S01012322,990,9,4,2,0,3
S01012323,930,0,7,0,1,3
S01012324,1006,4,1,2,1,1
S01012325,576,6,0,0,0,0
S01012326,540,5,7,0,0,0
S01012327,773,0,1,2,1,0
S01012328,580,3,1,0,0,0
S01012329,821,3,4,0,2,0
S01012330,557,5,2,1,1,4
S01012331,645,3,4,0,0,0
S01012332,1006,7,5,0,0,0
S01012333,1011,0,0,0,2,0
S01012334,909,6,0,2,2,2
S01012335,888,4,5,0,1,0
S01012336,599,3,0,0,0,0
S01012337,716,1,0,1,0,1
S01012338,727,2,1,15,0,3
S01012339,614,7,2,1,0,2
S01012340,1142,3,6,0,0,0
S01012341,911,14,9,1,1,1
S01012342,921,2,0,0,0,3
S01012343,938,5,5,0,3,3
S01012344,625,9,4,0,1,4
S01012345,890,16,5,0,0,0
S01012346,815,17,2,4,0,0
S01012347,722,5,1,0,0,0
S01012348,624,4,3,0,0,0
S01012349,818,6,5,1,0,7
S01012350,854,8,3,0,0,13
S01012351,837,6,1,1,1,1
S01012352,703,3,5,1,3,0
S01012353,726,8,10,0,0,2
S01012354,766,6,2,1,0,4
S01012355,978,1,6,0,1,0
S01012356,682,1,1,0,1,0
S01012357,927,1,0,0,0,0
S01012358,798,4,2,2,2,5
S01012359,748,5,6,2,1,1
S01012360,710,4,1,0,0,6
S01012361,563,5,0,0,0,3
S01012362,731,3,4,0,0,1
S01012363,961,12,24,1,3,2
S01012364,603,6,1,0,1,2
S01012365,908,5,0,0,2,0
S01012366,783,8,14,2,0,0
S01012367,800,9,10,0,0,0
S01012368,642,4,8,0,1,1
S01012369,793,1,5,0,0,10
S01012370,853,6,4,0,1,6
S01012371,942,2,4,0,1,14
S01012372,624,4,2,2,5,0
S01012373,901,0,16,0,0,2
S01012374,858,5,5,0,0,0
S01012375,842,6,0,4,0,0
S01012376,935,7,5,4,0,3
S01012377,607,5,1,3,0,3
S01012378,559,10,11,0,0,0
S01012379,553,4,1,0,0,0
S01012380,856,2,0,0,0,0
S01012381,787,3,13,0,0,1
S01012382,909,3,7,6,0,1
S01012383,784,1,6,0,0,2
S01012384,520,5,13,3,0,4
S01012385,638,2,1,0,1,2
S01012386,932,8,2,2,3,1
S01012387,841,12,2,0,0,7
S01012388,741,16,16,5,0,0
S01012389,935,9,4,4,0,6
S01012390,807,6,3,0,0,2
S01012391,1162,10,28,0,0,0
S01012392,779,6,18,0,2,2
S01012393,719,4,13,0,0,3
S01012394,671,5,8,5,0,1
S01012395,452,6,5,6,0,0
S01012396,535,4,11,0,0,3
S01012397,774,12,5,4,0,8
S01012398,706,17,10,2,0,2
S01012399,680,10,29,4,2,4
S01012400,527,6,21,4,0,4
S01012401,696,8,7,0,1,0
S01012402,828,3,14,0,0,0
S01012403,1011,4,11,0,0,0
S01012404,755,11,10,0,0,5
S01012405,793,6,8,0,0,2
S01012406,683,0,4,0,0,0
S01012407,849,12,2,2,0,1
S01012408,581,10,0,5,0,3
S01012409,648,6,0,0,0,2
S01012410,1001,6,3,2,0,0
S01012411,966,3,5,1,0,0
S01012412,649,1,2,1,0,0
S01012413,899,3,3,0,2,6
S01012414,699,2,0,0,0,2
S01012415,562,2,1,0,0,0
S01012416,469,2,3,0,0,0
S01012417,566,4,2,0,0,2
S01012418,796,4,0,0,0,4
S01012419,772,3,1,0,0,0
S01012420,751,4,3,2,0,0
S01012421,692,6,1,1,0,0
S01012422,870,6,0,3,1,3
S01012423,753,2,0,0,0,1
S01012424,897,3,5,0,0,2
S01012425,551,0,9,0,0,0
S01012426,519,0,0,0,0,0
S01012427,564,2,2,0,0,4
S01012428,628,0,7,0,0,0
S01012429,536,2,3,1,1,3
S01012430,506,4,6,0,1,8
S01012431,847,5,16,0,0,7
S01012432,675,0,1,2,0,0
S01012433,473,5,3,0,4,3
S01012434,550,0,0,0,0,0
S01012435,636,3,2,1,0,1
S01012436,614,2,2,0,0,4
S01012437,562,8,5,0,2,5
S01012438,815,1,6,0,0,0
S01012439,707,2,6,1,0,0
S01012440,486,6,3,0,1,5
S01012441,813,6,1,0,1,5
S01012442,1692,20,22,2,4,3
S01012443,743,3,0,0,0,0
S01012444,940,1,19,0,0,10
S01012445,473,6,34,2,0,6
S01012446,498,2,1,0,1,0
S01012447,818,2,0,0,0,0
S01012448,897,9,8,0,0,7
S01012449,568,0,0,1,0,0
S01012450,1048,3,6,0,2,5
S01012451,959,7,10,2,2,10
S01012452,596,10,6,0,1,1
S01012453,733,3,0,5,0,3
S01012454,651,1,8,0,2,0
S01012455,612,6,6,0,0,0
S01012456,775,2,10,2,0,5
S01012457,782,2,14,0,0,0
S01012458,767,2,23,0,0,0
S01012459,472,2,9,0,0,11
S01012460,533,1,0,0,0,0
S01012461,624,4,13,1,0,2
S01012462,712,2,10,0,0,0
S01012463,541,1,20,0,0,6
S01012464,556,1,4,0,0,0
S01012465,681,2,0,0,0,0
S01012466,711,3,11,0,0,0
S01012467,693,6,24,0,0,5
S01012468,734,6,14,0,0,1
S01012469,683,0,3,0,0,2
S01012470,927,7,20,2,0,1
S01012471,767,10,14,7,0,1
S01012472,671,10,5,3,0,0
S01012473,475,6,23,4,2,5
S01012474,683,2,3,0,0,0
S01012475,594,3,7,0,2,0
S01012476,932,4,22,0,0,6
S01012477,619,1,2,0,0,1
S01012478,928,8,2,1,0,4
S01012479,634,0,2,0,0,1
S01012480,415,6,13,0,0,3
S01012481,876,12,30,4,4,16
S01012482,761,3,8,5,0,14
S01012483,755,8,9,4,0,3
S01012484,765,6,16,0,3,1
S01012485,884,10,3,1,2,0
S01012486,545,5,0,3,0,1
S01012487,474,0,1,0,0,1
S01012488,899,4,5,1,0,7
S01012489,827,11,39,12,4,23
S01012490,954,11,28,0,4,6
S01012491,490,4,21,0,0,11
S01012492,637,2,33,3,0,10
S01012493,353,3,4,0,0,0
S01012494,964,3,8,2,1,2
S01012495,904,4,5,0,0,4
S01012496,705,4,0,0,0,0
S01012497,456,3,0,1,0,0
S01012498,855,2,0,2,2,0
S01012499,689,2,7,4,0,4
S01012500,551,1,11,1,0,0
S01012501,533,3,0,1,0,0
S01012502,671,7,9,0,0,2
S01012503,644,2,1,0,0,0
S01012504,697,1,7,0,0,0
S01012505,950,8,9,0,5,1
S01012506,538,7,10,0,1,6
S01012507,814,3,1,0,2,0
S01012508,808,4,10,1,2,0
S01012509,512,0,6,1,0,3
S01012510,933,6,26,1,0,0
S01012511,460,5,7,0,0,0
S01012512,448,1,8,4,0,7
S01012513,497,5,11,0,4,1
S01012514,962,0,24,0,0,6
S01012515,616,1,11,0,0,10
S01012516,659,5,12,0,1,1
S01012517,1023,19,51,0,0,5
S01012518,466,5,7,0,0,1
S01012519,472,1,12,0,1,7
S01012520,717,0,2,0,0,0
S01012521,460,1,5,0,0,0
S01012522,859,3,11,1,0,0
S01012523,758,3,15,0,0,6
S01012524,835,4,7,0,0,0
S01012525,660,3,1,1,0,0
S01012526,711,10,8,0,0,2
S01012527,625,3,10,0,0,1
S01012528,767,11,30,4,0,0
S01012529,540,7,10,6,1,3
S01012530,859,3,3,1,0,3
S01012531,1023,6,14,0,0,3
S01012532,1033,4,6,0,0,2
S01012533,455,5,16,0,1,0
S01012534,593,4,11,0,0,0
S01012535,808,1,3,0,0,0
S01012536,769,6,6,0,0,2
S01012537,665,0,1,0,0,1
