Data zone code,Data zone name,Total population
S01007121,Fraserburgh Central-Academy - 01,491
S01007122,Fraserburgh Central-Academy - 02,545
S01007123,Fraserburgh Central-Academy - 03,731
S01007124,Fraserburgh Central-Academy - 04,833
S01007125,Fraserburgh Harbour and Broadsea - 01,795
S01007126,Fraserburgh Harbour and Broadsea - 02,901
S01007127,Fraserburgh Harbour and Broadsea - 03,885
S01007128,Fraserburgh Harbour and Broadsea - 04,743
S01007129,South Angus - 01,915
S01007130,South Angus - 02,555
S01007131,South Angus - 03,748
S01007132,South Angus - 04,660
S01007133,South Angus - 05,587
S01007134,South Angus - 06,629
S01007135,South Angus - 07,501
S01007136,South Angus - 08,610
S01007137,Monikie - 01,727
S01007138,Monikie - 02,601
S01007139,Monikie - 03,727
S01007140,Monikie - 04,1143
S01007141,Monikie - 05,1196
S01007142,Monikie - 06,1126
S01007143,Monikie - 07,612
S01007144,Monikie - 08,916
S01007145,Monifieth West - 01,940
S01007146,Monifieth West - 02,728
S01007147,Monifieth West - 03,672
S01007148,Monifieth West - 04,476
S01007149,Monifieth East - 01,513
S01007150,Monifieth East - 02,806
S01007151,Monifieth East - 03,1185
S01007152,Monifieth East - 04,527
S01007153,Monifieth East - 05,667
S01007154,Monifieth East - 06,735
S01007155,Monifieth East - 07,628
S01007156,Carnoustie West - 01,701
S01007157,Carnoustie West - 02,616
S01007158,Carnoustie West - 03,870
S01007159,Carnoustie West - 04,1176
S01007160,Carnoustie West - 05,818
S01007161,Carnoustie West - 06,721
S01007162,Carnoustie West - 07,496
S01007163,Carnoustie East - 01,917
S01007164,Carnoustie East - 02,573
S01007165,Carnoustie East - 03,796
S01007166,Carnoustie East - 04,640
S01007167,Carnoustie East - 05,752
S01007168,Carnoustie East - 06,893
S01007169,Carnoustie East - 07,711
S01007170,Arbroath Landward - 01,698
S01007171,Arbroath Landward - 02,1414
S01007172,Arbroath Landward - 03,994
S01007173,Arbroath Kirkton - 01,827
S01007174,Arbroath Kirkton - 02,988
S01007175,Arbroath Kirkton - 03,688
S01007176,Arbroath Kirkton - 04,635
S01007177,Arbroath Kirkton - 05,565
S01007178,Arbroath Kirkton - 06,750
