Intermediate Zone - Data Zone 2011,"Managers, Directors and Senior Officials - Total",Professional Occupations - Total,Associate Professional and Technical Occupations - Total,Administrative and Secretarial Occupations - Total,Skilled Trade Occupations - Total,"Caring, Leisure and Other Service Occupations - Total",Sales and Customer Service Occupations - Total,"Process, Plant and Machine Operatives - Total",Elementary Occupations - Total
S01006870,16,54,31,28,35,16,13,15,21
S01006871,44,70,51,21,46,24,20,15,20
S01006872,82,192,97,60,54,34,24,24,44
S01006873,43,117,43,31,68,29,17,27,30
S01006874,37,72,45,34,60,28,15,12,25
S01006875,27,52,19,24,76,37,26,29,35
S01006876,54,92,64,47,97,41,29,27,57
S01006877,61,89,51,34,108,36,17,37,41
S01006878,31,61,44,25,69,25,16,31,50
S01006879,35,68,41,31,87,31,13,21,42
S01006880,46,100,100,36,26,37,16,24,24
S01006881,39,69,38,29,59,16,14,15,34
S01006882,7,22,21,16,18,17,7,19,20
S01006883,11,25,29,25,35,21,7,17,16
S01006884,35,91,61,38,60,32,9,26,55
S01006885,50,138,99,59,80,47,31,28,46
S01006886,56,157,85,41,65,33,26,24,38
S01006887,34,103,68,32,44,24,16,25,34
S01006888,53,118,74,51,68,28,19,26,60
S01006889,15,41,38,30,43,48,30,34,70
S01006890,25,63,41,40,32,21,21,18,27
S01006891,43,108,73,46,45,50,33,36,45
S01006892,17,42,34,26,42,30,21,26,40
S01006893,15,26,28,21,34,24,22,25,35
S01006894,23,78,71,40,58,33,23,32,34
S01006895,22,64,39,34,46,37,30,30,46
S01006896,25,56,55,37,51,30,43,28,46
S01006897,18,53,44,32,60,25,22,28,44
S01006898,23,60,44,46,51,38,36,25,37
S01006899,19,65,62,38,46,21,20,22,35
S01006900,19,41,40,24,41,21,13,24,23
S01006901,9,43,33,18,47,36,27,31,41
S01006902,17,46,49,25,37,27,20,26,42
S01006903,23,55,56,37,54,41,31,47,63
S01006904,20,52,33,18,35,36,27,31,41
S01006905,42,85,44,32,35,34,28,28,39
S01006906,12,44,42,28,47,41,22,29,58
S01006907,36,69,62,36,48,33,32,36,48
S01006908,36,48,60,39,53,42,42,30,43
S01006909,65,162,108,78,66,46,28,33,46
S01006910,78,139,98,52,70,28,18,29,31
S01006911,49,122,72,47,43,18,21,20,23
S01006912,71,119,72,52,56,35,14,28,27
S01006913,123,396,273,182,148,113,76,72,93
S01006914,40,89,63,28,59,25,19,18,29
S01006915,55,104,60,46,83,33,15,23,39
S01006916,23,56,39,27,27,35,17,13,18
S01006917,56,164,101,68,49,24,37,27,49
S01006918,18,52,50,30,26,11,17,15,16
S01006919,25,43,17,31,25,23,7,15,16
S01006920,22,45,37,37,21,22,6,13,24
S01006921,40,111,91,61,39,31,29,22,28
S01006922,57,77,57,39,41,30,21,24,30
S01006923,41,69,61,34,53,18,14,35,34
S01006924,36,75,43,33,54,16,16,20,19
S01006925,12,37,31,28,22,18,9,18,18
