Intermediate Zone - Data Zone 2011,"Managers, Directors and Senior Officials - Total",Professional Occupations - Total,Associate Professional and Technical Occupations - Total,Administrative and Secretarial Occupations - Total,Skilled Trade Occupations - Total,"Caring, Leisure and Other Service Occupations - Total",Sales and Customer Service Occupations - Total,"Process, Plant and Machine Operatives - Total",Elementary Occupations - Total
S01012124,12,50,38,28,16,24,26,13,17
S01012125,22,55,52,48,32,39,35,27,50
S01012126,34,108,71,51,51,43,36,29,47
S01012127,49,145,123,93,60,59,86,45,191
S01012128,22,75,52,41,26,24,47,20,42
S01012129,23,71,60,34,36,33,32,31,44
S01012130,29,101,71,51,42,58,36,28,63
S01012131,26,108,91,53,50,81,97,49,121
S01012132,18,84,47,41,33,61,53,22,91
S01012133,24,93,42,35,31,33,20,34,45
S01012134,42,137,96,55,35,34,40,24,42
S01012135,14,62,50,37,49,62,60,33,81
S01012136,20,60,54,27,31,44,64,27,89
S01012137,31,80,67,56,50,41,36,34,58
S01012138,33,112,77,58,52,37,42,31,45
S01012139,35,78,83,75,43,45,47,27,48
S01012140,21,90,49,30,18,16,11,9,10
S01012141,38,146,97,55,42,22,34,27,17
S01012142,48,97,74,43,36,27,25,17,25
S01012143,50,126,58,37,28,22,25,9,13
S01012144,54,143,68,57,46,26,38,32,33
S01012145,65,178,76,59,39,26,29,16,18
S01012146,18,61,60,33,44,47,38,39,71
S01012147,12,31,53,45,30,35,34,31,45
S01012148,11,35,20,23,32,35,36,23,70
S01012149,27,69,55,46,42,32,41,29,49
S01012150,13,31,53,39,42,46,38,37,54
S01012151,16,35,37,30,21,45,24,22,37
S01012152,10,26,34,22,27,41,27,32,59
S01012153,33,56,55,59,44,55,47,37,73
S01012154,11,43,51,38,28,48,48,39,75
S01012155,21,45,36,29,28,39,31,34,59
S01012156,33,114,92,75,67,82,49,57,96
S01012157,32,67,62,61,70,60,45,50,85
S01012158,52,152,127,90,64,69,66,57,64
S01012159,14,46,43,27,36,21,18,20,19
S01012160,23,71,55,34,30,24,16,24,19
S01012161,8,20,23,17,22,30,17,25,25
S01012162,36,76,69,63,74,57,51,43,65
S01012163,18,75,76,46,52,59,37,41,61
S01012164,41,140,117,65,71,50,52,57,51
S01012165,9,47,38,33,35,69,37,49,76
S01012166,17,40,33,19,36,26,37,37,57
S01012167,16,58,43,33,35,42,40,33,46
S01012168,21,76,40,42,35,19,26,25,33
S01012169,30,63,56,49,50,44,39,32,30
S01012170,26,56,73,58,52,58,42,41,54
S01012171,25,54,63,54,47,59,51,40,62
S01012172,17,42,29,29,34,36,40,26,47
S01012173,29,64,51,33,34,13,23,13,22
S01012174,33,126,95,54,39,36,57,31,43
S01012175,26,66,47,41,33,25,42,23,33
S01012176,27,66,50,47,32,29,39,27,30
S01012177,17,53,24,33,35,15,32,19,27
S01012178,27,45,31,40,25,13,25,17,15
S01012179,22,44,22,27,18,20,26,16,19
S01012180,25,56,49,51,26,26,13,21,31
S01012181,27,67,49,34,29,33,30,25,28
S01012182,153,439,287,191,168,112,119,94,113
S01012183,35,160,110,69,68,59,57,50,60
S01012184,59,228,150,55,58,50,49,41,41
S01012185,29,81,76,48,61,44,57,26,74
S01012186,21,44,44,43,39,24,41,27,37
S01012187,8,51,35,28,31,42,26,31,54
S01012188,19,59,39,36,23,29,26,20,22
S01012189,19,59,61,36,44,24,21,22,26
S01012190,33,61,48,33,26,21,25,13,28
S01012191,29,76,62,31,43,23,28,23,18
S01012192,34,106,68,37,35,17,29,23,13
S01012193,26,61,50,35,26,20,21,14,16
S01012194,25,70,44,45,21,25,23,8,15
S01012195,52,118,77,77,56,45,45,36,40
S01012196,38,70,43,38,32,23,22,22,9
S01012197,13,58,49,52,28,41,27,18,38
S01012198,30,64,62,39,40,40,41,36,32
S01012199,14,41,28,47,61,30,32,28,56
S01012200,12,49,33,35,29,40,28,20,29
S01012201,21,71,47,47,36,43,32,35,38
S01012202,18,51,49,25,40,45,20,17,27
S01012203,29,71,53,41,27,16,24,16,18
S01012204,20,74,51,34,37,27,23,23,29
S01012205,14,66,48,55,37,29,25,15,26
S01012206,23,77,59,59,49,47,34,33,37
S01012207,34,65,56,54,48,58,43,33,45
S01012208,28,86,68,49,68,52,42,53,62
S01012209,19,57,57,42,36,50,34,29,42
S01012210,27,45,52,41,49,43,30,31,53
S01012211,36,120,92,44,43,37,30,24,46
S01012212,20,85,47,51,27,17,30,14,20
S01012213,29,65,66,48,28,18,22,18,31
S01012214,21,108,53,32,36,17,25,13,28
S01012215,34,102,66,41,36,18,25,14,19
S01012216,37,116,68,33,29,19,25,14,22
S01012217,17,25,23,23,33,36,37,32,44
S01012218,9,31,27,22,17,35,13,25,45
S01012219,17,45,34,45,44,54,42,44,59
S01012220,16,19,30,24,27,22,33,29,42
S01012221,10,31,23,42,41,34,33,33,34
S01012222,14,35,49,44,47,45,31,50,60
S01012223,6,33,34,29,40,41,38,28,46
S01012224,18,48,52,57,46,48,34,57,67
S01012225,27,43,65,49,61,58,39,50,61
S01012226,25,49,37,39,59,42,44,26,37
S01012227,19,34,38,34,53,30,29,28,48
S01012228,14,54,44,35,47,47,29,30,43
S01012229,23,85,57,36,31,24,30,19,30
S01012230,37,111,71,65,37,24,27,26,31
S01012231,45,116,67,41,18,20,23,13,18
S01012232,40,111,74,50,38,24,29,15,18
S01012233,45,117,68,41,26,19,25,15,25
S01012234,62,164,81,63,48,19,21,15,26
S01012235,34,61,39,23,20,7,13,5,6
S01012236,50,111,73,44,25,29,30,19,37
S01012237,57,131,67,29,21,16,14,11,16
S01012238,26,61,50,32,32,37,16,30,27
S01012239,16,51,37,16,32,28,16,17,37
S01012240,46,83,66,31,44,38,14,24,31
S01012241,40,89,33,17,22,18,12,8,10
S01012242,48,164,85,32,31,19,22,11,24
S01012243,44,111,54,23,30,18,10,12,14
S01012244,70,135,64,38,55,34,17,21,34
S01012245,51,102,42,29,22,24,12,11,39
S01012246,65,161,83,49,43,38,19,18,55
S01012247,44,132,56,21,51,32,14,18,30
S01012248,56,129,58,21,71,27,15,21,47
S01012249,53,114,47,30,81,30,27,23,29
S01012250,92,153,92,38,85,38,31,24,53
S01012251,31,78,54,41,69,61,32,34,69
S01012252,39,57,50,27,51,45,36,21,59
S01012253,35,83,46,37,50,43,30,20,57
S01012254,34,95,71,34,53,43,29,13,50
S01012255,34,81,51,33,49,31,25,12,48
S01012256,30,80,48,26,19,24,27,9,30
S01012257,31,83,51,36,65,51,24,30,66
S01012258,43,128,48,28,18,17,16,4,32
S01012259,38,100,47,25,15,13,18,12,20
S01012260,41,93,56,39,61,47,36,23,63
S01012261,49,131,63,31,23,41,27,20,30
S01012262,101,184,97,45,84,47,32,29,62
S01012263,29,51,49,32,55,42,23,28,60
S01012264,24,66,29,11,27,15,11,15,24
S01012265,19,38,54,26,77,65,32,32,69
S01012266,44,96,50,54,97,60,26,20,57
S01012267,46,91,65,38,55,36,34,22,43
S01012268,43,70,31,27,55,23,15,31,30
S01012269,37,104,67,43,80,62,23,24,65
S01012270,25,69,54,35,67,38,31,34,47
S01012271,131,262,162,106,154,97,77,76,115
S01012272,37,107,53,23,32,29,17,14,26
S01012273,44,100,72,37,49,36,20,17,37
S01012274,40,90,57,55,45,41,43,35,52
S01012275,35,48,38,36,45,55,53,35,66
S01012276,45,100,67,50,67,41,52,45,53
S01012277,40,83,75,62,67,88,50,46,63
S01012278,18,76,48,38,41,32,58,21,35
S01012279,19,55,49,41,38,48,44,33,45
S01012280,17,56,59,47,69,64,53,49,62
S01012281,20,64,40,41,46,35,63,27,44
S01012282,42,87,60,47,48,41,43,25,55
S01012283,43,98,44,46,42,49,37,14,38
S01012284,14,38,35,35,49,49,46,32,60
S01012285,23,62,31,22,34,21,18,5,17
S01012286,30,48,44,44,52,56,50,38,96
S01012287,17,31,32,25,33,41,32,24,74
S01012288,10,23,30,23,31,42,26,31,56
S01012289,40,127,53,24,31,22,20,9,26
S01012290,32,78,26,20,22,33,20,11,22
S01012291,63,169,94,66,55,38,29,30,52
S01012292,37,91,38,28,18,25,17,14,18
S01012293,13,38,34,25,33,18,19,12,23
S01012294,35,61,50,48,66,43,34,31,62
S01012295,48,84,71,51,43,39,24,22,33
S01012296,61,146,69,43,53,50,31,23,38
S01012297,45,109,42,37,67,22,15,28,37
S01012298,35,102,62,29,48,37,13,24,47
S01012299,45,89,52,24,60,26,14,15,42
S01012300,23,47,35,29,54,29,23,32,41
S01012301,69,78,50,37,66,50,21,28,47
S01012302,30,47,28,29,54,35,10,12,55
S01012303,55,124,56,57,87,34,14,33,43
S01012304,46,87,57,51,105,45,34,47,39
S01012305,39,49,43,29,53,51,24,41,64
S01012306,10,28,21,24,32,27,18,34,61
S01012307,25,44,37,16,27,24,19,37,61
S01012308,25,51,62,41,76,49,34,61,63
S01012309,21,45,33,17,45,28,13,27,42
S01012310,74,91,56,42,80,55,35,38,60
S01012311,35,49,29,15,27,14,11,20,29
S01012312,49,96,58,29,88,43,24,53,64
S01012313,41,68,51,33,60,29,11,28,47
S01012314,31,36,33,26,72,64,29,57,66
S01012315,26,38,38,23,48,34,22,36,37
S01012316,15,21,31,19,41,35,25,40,44
S01012317,27,36,30,16,42,33,21,41,35
S01012318,28,42,27,22,55,48,33,58,62
S01012319,44,58,44,28,78,35,20,25,50
S01012320,12,32,34,20,41,34,16,37,50
S01012321,34,74,54,42,43,54,36,36,60
S01012322,75,97,54,37,75,38,30,32,47
S01012323,65,73,51,35,74,29,26,24,57
S01012324,58,74,66,28,92,58,19,31,56
S01012325,17,34,20,17,30,24,16,21,24
S01012326,18,24,24,20,48,21,17,20,46
S01012327,28,44,22,23,57,57,39,36,43
S01012328,23,55,18,19,31,15,9,15,22
S01012329,51,59,37,39,79,32,18,23,54
S01012330,20,32,28,38,31,21,23,22,27
S01012331,25,83,56,35,58,18,25,22,29
S01012332,59,73,56,44,107,45,26,21,75
S01012333,57,87,56,47,94,44,35,36,50
S01012334,13,44,47,40,60,54,34,45,62
S01012335,35,61,58,49,84,67,32,45,59
S01012336,15,39,35,19,40,38,16,37,44
S01012337,13,25,32,24,50,56,28,45,61
S01012338,27,57,26,25,44,21,44,33,61
S01012339,21,47,23,17,35,26,29,20,29
S01012340,37,71,67,51,69,47,41,48,43
S01012341,56,78,62,46,102,28,27,27,65
S01012342,47,76,50,39,89,40,19,27,59
S01012343,45,93,51,38,80,51,30,25,56
S01012344,23,52,42,27,43,52,25,28,43
S01012345,26,66,38,49,72,49,27,40,61
S01012346,45,91,50,33,75,40,16,22,39
S01012347,28,75,49,32,47,33,19,23,27
S01012348,29,77,39,34,33,15,17,14,34
S01012349,21,35,34,43,66,45,27,39,69
S01012350,43,55,37,32,48,40,23,32,56
S01012351,29,42,46,30,74,69,31,48,51
S01012352,21,47,26,36,58,38,23,40,52
S01012353,26,54,33,14,57,41,25,42,41
S01012354,16,46,34,37,64,38,17,50,54
S01012355,71,76,54,26,117,32,23,22,74
S01012356,25,63,43,36,45,30,19,32,39
S01012357,59,84,42,40,82,37,12,28,41
S01012358,57,66,41,31,87,31,22,19,53
S01012359,16,27,30,21,51,41,36,40,51
S01012360,13,10,21,11,42,40,32,38,62
S01012361,13,10,13,9,33,40,34,44,51
S01012362,17,18,21,18,39,50,28,52,60
S01012363,27,63,47,31,86,51,49,49,73
S01012364,20,35,30,27,44,28,31,32,36
S01012365,46,84,39,55,73,49,45,51,32
S01012366,28,40,35,43,56,41,49,35,46
S01012367,27,49,37,29,60,52,30,40,43
S01012368,30,62,34,31,52,32,19,17,28
S01012369,23,56,42,45,91,41,29,34,44
S01012370,38,49,50,35,71,66,29,42,55
S01012371,21,48,59,37,83,64,34,43,52
S01012372,14,27,18,35,30,26,27,35,38
S01012373,34,52,55,49,74,45,29,39,61
S01012374,26,66,46,36,81,65,48,46,59
S01012375,19,50,37,39,74,61,48,67,51
S01012376,56,116,62,36,77,34,28,17,39
S01012377,50,69,33,23,54,23,7,15,15
S01012378,37,53,32,25,64,17,10,7,31
S01012379,44,44,33,18,47,18,1,8,38
S01012380,25,60,42,60,82,52,26,38,49
S01012381,24,57,55,34,55,33,33,27,45
S01012382,33,95,55,45,67,38,27,27,36
S01012383,23,59,48,46,56,33,23,23,43
S01012384,17,48,29,35,43,25,14,18,24
S01012385,20,62,63,38,39,30,29,25,36
S01012386,20,45,30,24,62,53,49,46,61
S01012387,37,76,65,43,67,50,27,52,54
S01012388,40,91,56,28,71,39,20,41,41
S01012389,30,108,68,51,74,52,35,43,50
S01012390,21,95,55,51,71,41,32,54,44
S01012391,49,133,86,86,102,82,45,45,65
S01012392,27,63,52,44,58,43,33,27,51
S01012393,35,68,49,45,56,45,30,37,56
S01012394,21,39,26,30,42,29,40,31,55
S01012395,19,33,33,31,31,34,19,20,32
S01012396,17,80,40,38,42,38,20,21,34
S01012397,32,72,65,44,64,42,35,35,50
S01012398,20,88,51,61,70,64,25,25,48
S01012399,17,46,52,35,50,55,27,31,45
S01012400,19,54,27,26,49,40,17,29,47
S01012401,15,57,37,39,68,51,22,44,63
S01012402,28,59,77,50,85,65,28,42,50
S01012403,43,101,61,47,106,69,16,39,54
S01012404,29,71,56,45,67,56,18,35,58
S01012405,50,79,60,57,82,38,18,32,41
S01012406,25,63,61,42,72,28,20,28,28
S01012407,25,81,50,39,77,58,28,45,39
S01012408,21,59,42,35,54,36,20,36,46
S01012409,20,59,41,34,63,37,14,46,30
S01012410,30,68,67,61,92,80,27,58,82
S01012411,30,64,55,40,92,63,26,69,85
S01012412,22,50,33,32,66,39,24,35,36
S01012413,28,61,45,40,78,58,14,47,52
S01012414,30,42,27,22,67,42,21,37,51
S01012415,12,32,26,25,81,37,22,31,23
S01012416,8,41,19,23,72,32,13,18,19
S01012417,19,31,17,11,41,35,19,18,44
S01012418,45,48,31,29,86,43,24,23,54
S01012419,49,43,45,31,67,26,21,21,43
S01012420,24,26,23,17,45,47,23,52,61
S01012421,31,43,30,16,73,42,11,24,38
S01012422,35,61,39,33,69,53,27,23,54
S01012423,29,61,53,31,57,35,17,29,33
S01012424,24,41,30,31,51,54,24,52,75
S01012425,2,11,16,14,30,41,18,23,35
S01012426,9,12,16,13,34,38,21,27,32
S01012427,7,16,16,18,32,49,21,23,45
S01012428,10,31,22,15,27,41,12,29,56
S01012429,6,28,23,21,24,43,12,24,38
S01012430,21,30,29,24,22,22,18,19,38
S01012431,32,74,33,30,43,45,21,27,35
S01012432,18,41,29,26,41,40,15,27,39
S01012433,14,19,20,27,35,33,20,23,30
S01012434,10,34,23,20,44,36,19,17,44
S01012435,13,30,17,31,46,51,20,36,45
S01012436,24,32,26,33,35,34,21,26,37
S01012437,17,38,28,30,45,41,22,32,37
S01012438,24,52,47,47,60,51,27,38,42
S01012439,20,56,30,29,37,30,15,18,26
S01012440,16,42,40,23,32,24,13,12,20
S01012441,51,73,45,31,77,40,9,32,39
S01012442,76,202,130,89,101,62,47,44,68
S01012443,53,74,53,39,69,32,14,16,31
S01012444,47,120,61,42,47,41,25,20,21
S01012445,30,73,38,17,17,15,18,15,15
S01012446,14,35,31,29,32,28,19,15,24
S01012447,29,85,47,34,51,62,44,27,22
S01012448,43,88,90,49,58,37,47,17,37
S01012449,17,55,29,23,51,43,22,23,26
S01012450,58,105,66,58,67,45,29,35,54
S01012451,57,98,59,41,20,12,19,12,23
S01012452,19,85,35,28,28,18,14,9,10
S01012453,46,93,53,27,19,20,16,13,11
S01012454,26,83,50,28,35,9,22,10,15
S01012455,50,71,38,21,16,16,6,13,12
S01012456,31,110,63,23,21,16,18,10,17
S01012457,45,69,56,20,23,22,12,11,9
S01012458,53,91,58,28,25,18,19,4,12
S01012459,19,57,50,38,24,21,11,19,20
S01012460,21,49,25,21,25,12,1,10,18
S01012461,22,58,42,26,32,36,47,27,44
S01012462,13,47,34,23,46,56,48,35,53
S01012463,10,27,24,21,35,33,30,15,47
S01012464,13,23,24,24,31,42,26,28,42
S01012465,13,33,31,28,30,48,39,27,44
S01012466,25,77,54,28,42,24,29,21,28
S01012467,18,57,63,36,36,41,44,23,34
S01012468,29,61,62,44,61,38,38,21,34
S01012469,41,99,42,32,20,17,13,8,16
S01012470,25,68,65,41,48,49,36,41,47
S01012471,51,89,45,20,29,13,16,19,23
S01012472,22,79,43,27,25,24,14,9,21
S01012473,22,75,37,23,25,18,10,8,21
S01012474,13,70,38,29,29,28,20,13,22
S01012475,16,69,29,27,22,28,20,15,24
S01012476,29,76,66,63,64,53,46,26,47
S01012477,15,62,31,45,38,41,20,17,26
S01012478,27,74,69,44,49,62,47,31,51
S01012479,18,76,63,44,49,31,15,23,22
S01012480,21,49,25,10,14,11,13,8,24
S01012481,46,113,69,48,49,41,44,29,56
S01012482,40,65,50,37,24,27,34,10,23
S01012483,29,60,43,19,21,38,30,24,40
S01012484,39,110,73,25,28,17,18,16,23
S01012485,60,102,50,16,26,18,21,14,18
S01012486,23,48,20,13,5,16,9,5,8
S01012487,15,37,30,20,37,32,21,12,25
S01012488,19,53,53,48,59,42,50,33,61
S01012489,22,42,34,18,61,75,38,24,74
S01012490,29,54,47,27,56,58,49,27,80
S01012491,9,18,14,12,21,25,30,13,36
S01012492,12,29,33,19,37,37,44,17,62
S01012493,17,42,28,15,9,13,11,12,16
S01012494,26,66,57,41,51,71,51,29,85
S01012495,16,43,47,58,52,50,54,45,69
S01012496,9,32,26,27,39,42,44,39,33
S01012497,13,11,17,21,23,21,29,24,46
S01012498,6,24,29,22,58,64,51,40,55
S01012499,16,20,25,16,40,45,35,27,44
S01012500,9,21,17,22,41,35,24,24,32
S01012501,19,10,9,9,22,21,22,17,54
S01012502,2,17,26,11,31,36,22,24,52
S01012503,16,18,22,14,35,37,31,28,45
S01012504,10,21,32,23,42,50,33,30,58
S01012505,22,61,45,36,68,66,41,33,57
S01012506,15,44,31,30,26,29,30,21,17
S01012507,22,61,53,26,53,51,34,34,47
S01012508,26,69,69,34,44,52,41,34,57
S01012509,26,66,42,23,28,22,27,20,27
S01012510,32,103,67,70,54,51,47,28,33
S01012511,11,38,24,29,21,26,20,15,16
S01012512,15,37,37,13,22,31,11,11,24
S01012513,20,63,34,20,19,27,21,4,9
S01012514,38,118,98,62,75,54,43,31,42
S01012515,14,29,31,24,28,30,30,22,42
S01012516,13,54,44,33,39,38,38,24,36
S01012517,24,102,73,41,67,57,48,41,48
S01012518,27,65,43,17,17,13,11,3,13
S01012519,21,67,31,25,18,18,21,12,17
S01012520,32,78,55,17,30,16,22,7,17
S01012521,30,59,35,19,20,28,11,11,21
S01012522,39,117,52,37,33,27,33,15,20
S01012523,29,96,54,49,27,41,37,17,32
S01012524,38,93,58,37,36,28,36,14,27
S01012525,25,94,59,32,22,24,22,9,17
S01012526,23,104,57,32,23,13,29,11,24
S01012527,15,60,35,31,35,23,28,20,17
S01012528,22,58,54,52,44,43,27,46,50
S01012529,13,41,28,24,36,32,24,25,30
S01012530,35,95,67,45,41,24,24,21,27
S01012531,50,120,83,64,58,51,40,29,39
S01012532,60,101,77,61,60,53,28,29,34
S01012533,12,44,41,23,22,22,14,12,28
S01012534,19,41,31,28,39,29,29,15,37
S01012535,26,34,52,34,59,65,35,35,62
S01012536,13,47,46,31,57,57,37,45,51
S01012537,19,32,17,26,49,57,33,30,51
S01012538,36,58,81,35,74,82,54,34,55
S01012539,15,26,28,23,40,26,36,40,27
S01012540,13,24,23,27,47,38,37,29,40
S01012541,50,92,76,42,106,70,45,34,50
S01012542,58,173,115,41,69,69,40,36,66
S01012543,39,86,56,37,55,25,19,24,37
S01012544,37,77,54,37,47,33,20,19,40
S01012545,11,29,27,12,30,31,24,18,26
S01012546,39,72,54,31,62,43,37,37,44
S01012547,19,56,36,13,21,26,15,23,27
S01012548,106,305,175,87,83,55,49,40,66
S01012549,16,36,30,19,38,12,20,13,35
S01012550,26,64,54,25,53,35,31,39,39
S01012551,30,84,56,45,32,24,27,23,32
S01012552,28,98,53,34,24,25,30,19,27
S01012553,39,106,90,54,60,30,31,20,34
S01012554,17,42,38,18,20,21,21,18,17
S01012555,22,52,36,23,36,14,18,11,20
S01012556,15,71,35,15,15,6,14,5,12
S01012557,41,71,38,16,22,23,24,11,19
S01012558,20,32,32,20,36,34,32,17,35
S01012559,12,27,33,13,25,23,20,16,37
S01012560,20,40,30,21,26,26,19,18,33
S01012561,24,48,55,26,32,36,26,24,28
S01012562,23,43,37,30,39,40,41,25,30
S01012563,52,86,37,33,23,15,13,6,18
S01012564,28,85,37,20,21,19,18,9,16
S01012565,34,95,57,27,23,12,10,5,20
S01012566,36,69,43,30,35,30,31,17,31
S01012567,34,62,45,53,48,32,19,31,37
S01012568,34,70,31,21,12,8,0,5,9
S01012569,67,129,66,25,9,21,6,9,22
S01012570,18,33,32,13,38,17,16,25,24
S01012571,45,63,44,29,66,33,19,34,43
S01012572,22,35,31,22,36,15,13,29,22
S01012573,61,91,52,40,71,27,12,34,50
S01012574,57,91,57,42,54,52,24,27,33
S01012575,32,86,41,24,58,35,21,19,24
S01012576,36,88,34,33,47,37,22,22,22
S01012577,57,140,88,47,95,67,31,40,62
S01012578,37,95,47,30,43,27,23,38,40
S01012579,43,74,51,34,66,39,23,23,43
S01012580,66,97,63,33,74,45,17,31,28
S01012581,16,34,26,21,42,59,34,44,35
S01012582,59,112,80,42,60,48,17,50,41
S01012583,18,43,43,32,49,61,24,40,28
S01012584,37,59,61,28,56,35,21,37,29
S01012585,23,63,43,30,56,66,21,69,46
S01012586,44,111,45,36,63,57,25,44,34
S01012587,51,111,56,43,91,32,30,27,34
S01012588,29,59,47,31,50,36,17,27,34
S01012589,19,41,42,25,34,37,26,47,37
S01012590,28,45,44,37,45,35,33,50,29
S01012591,21,26,40,28,32,47,25,40,41
S01012592,54,111,89,33,50,27,33,21,15
S01012593,25,101,62,45,54,28,31,52,32
S01012594,16,44,43,31,28,19,15,18,21
S01012595,17,48,41,20,40,37,21,36,22
S01012596,23,47,47,27,37,29,26,38,52
S01012597,22,49,45,33,35,22,24,27,20
S01012598,32,86,43,26,18,17,17,22,18
S01012599,21,67,41,34,33,31,27,24,27
S01012600,31,82,57,33,30,32,29,20,31
S01012601,37,126,83,57,43,35,25,38,26
S01012602,25,42,29,29,32,49,22,32,32
S01012603,17,36,33,28,32,38,19,38,40
S01012604,18,38,29,20,38,33,20,36,40
S01012605,12,28,36,16,31,45,15,16,32
S01012606,50,144,92,50,57,41,28,32,29
S01012607,33,77,48,28,35,44,30,28,41
S01012608,24,60,36,25,51,52,33,41,42
S01012609,17,42,32,33,46,44,36,47,66
S01012610,22,39,43,41,55,58,38,43,65
S01012611,40,134,95,51,57,56,45,51,59
S01012612,18,37,24,29,35,41,27,25,37
S01012613,11,51,30,32,35,34,15,34,38
S01012614,29,78,52,44,39,51,34,48,42
S01012615,52,111,54,37,42,31,27,12,26
S01012616,48,121,61,41,69,45,32,32,32
S01012617,49,141,106,59,70,37,23,29,19
S01012618,21,63,33,19,38,24,18,17,18
S01012619,10,38,16,21,24,32,19,16,34
S01012620,34,77,46,33,34,23,13,15,12
S01012621,26,67,31,23,23,25,15,13,13
S01012622,21,80,44,34,48,56,35,32,31
S01012623,9,41,29,38,39,41,23,34,42
S01012624,20,43,35,26,50,49,25,35,47
S01012625,9,24,36,25,36,44,20,29,43
S01012626,12,41,27,20,37,34,15,15,20
S01012627,18,55,39,28,41,46,22,25,33
S01012628,71,165,101,56,53,54,30,25,49
S01012629,32,78,38,23,18,17,16,9,13
S01012630,28,61,43,34,40,43,31,21,42
S01012631,28,64,32,37,46,41,43,25,52
S01012632,34,89,44,33,66,33,24,34,31
S01012633,46,52,44,31,40,31,11,22,24
S01012634,25,44,31,28,44,47,30,41,46
S01012635,76,112,79,61,72,59,31,40,47
S01012636,44,100,64,46,64,41,27,32,31
S01012637,21,33,28,28,38,48,23,55,47
S01012638,33,55,55,44,44,32,31,50,51
S01012639,26,35,37,35,63,70,26,42,52
S01012640,9,23,21,18,51,46,37,41,38
S01012641,22,61,31,29,46,52,37,68,48
S01012642,11,16,31,14,46,58,27,43,46
S01012643,6,24,20,14,25,27,15,35,32
S01012644,18,37,28,28,48,61,27,39,43
S01012645,31,85,52,38,57,36,30,29,47
S01012646,38,92,63,64,49,57,37,38,35
S01012647,30,83,60,40,47,31,35,35,29
S01012648,6,22,22,24,43,23,27,32,46
S01012649,10,38,27,28,37,41,24,33,37
S01012650,35,64,41,38,42,28,40,31,34
S01012651,17,29,22,18,44,47,24,32,38
S01012652,48,102,75,52,66,37,30,48,34
S01012653,32,62,51,49,81,50,41,41,52
S01012654,75,175,130,70,75,53,76,67,64
S01012655,57,83,49,39,60,39,44,38,49
S01012656,12,46,37,43,65,30,34,25,52
S01012657,13,42,40,20,40,27,24,13,35
S01012658,35,67,78,50,51,35,20,32,41
S01012659,44,166,97,56,59,46,52,26,37
S01012660,24,43,27,38,43,32,39,37,45
S01012661,31,87,67,44,69,26,51,35,40
S01012662,22,54,47,27,53,42,41,42,41
S01012663,25,47,37,31,39,32,24,35,29
S01012664,41,66,48,45,54,44,49,38,62
S01012665,12,31,41,38,46,35,42,38,57
S01012666,8,25,15,27,22,31,31,40,51
S01012667,11,15,27,24,33,25,27,26,32
S01012668,24,31,41,32,46,52,38,44,37
S01012669,13,35,38,38,37,28,29,26,23
S01012670,27,67,50,36,39,29,27,24,23
S01012671,29,47,38,39,70,65,44,40,55
S01012672,19,29,21,36,47,47,29,39,57
S01012673,9,12,17,27,33,29,34,26,51
S01012674,3,23,18,34,46,38,28,26,50
S01012675,15,36,23,24,50,55,30,52,43
S01012676,17,47,37,37,68,56,46,45,46
S01012677,12,33,24,24,39,41,22,38,34
S01012678,35,102,73,62,70,35,28,36,33
S01012679,22,50,38,32,58,37,26,30,37
S01012680,35,69,42,26,32,21,25,21,11
S01012681,43,97,98,52,95,38,32,31,48
S01012682,23,67,41,39,36,30,23,34,25
S01012683,30,43,30,30,54,44,31,30,35
S01012684,26,63,32,27,43,23,23,17,16
S01012685,35,42,36,30,52,35,34,26,37
S01012686,44,146,78,30,43,37,15,15,25
S01012687,22,64,35,18,15,12,9,9,8
S01012688,37,100,61,35,59,25,24,16,25
S01012689,24,76,20,17,20,14,14,10,17
S01012690,17,50,40,30,26,28,17,19,17
S01012691,44,118,50,32,20,24,19,13,18
S01012692,30,79,39,29,35,31,19,17,23
S01012693,86,199,88,52,47,23,39,19,28
S01012694,21,38,30,19,22,24,14,11,16
S01012695,47,94,43,42,74,36,28,55,39
S01012696,81,122,67,37,83,29,17,40,31
S01012697,78,201,99,61,75,30,23,34,43
S01012698,55,106,52,34,74,42,21,18,40
S01012699,94,190,93,61,108,66,34,37,51
S01012700,39,98,47,48,49,26,37,24,27
S01012701,96,264,121,71,59,34,42,29,34
S01012702,69,206,101,65,55,28,39,38,31
S01012703,24,65,61,36,36,27,27,16,29
S01012704,18,36,35,34,54,42,31,39,47
S01012705,38,76,71,46,31,23,34,28,22
S01012706,16,50,28,22,54,47,34,40,51
S01012707,26,91,44,42,41,27,37,21,25
S01012708,16,33,22,39,35,29,34,32,45
S01012709,11,42,41,23,19,27,23,23,34
S01012710,13,46,39,31,37,39,25,29,42
S01012711,19,47,34,38,28,56,53,44,68
S01012712,31,105,58,48,35,19,30,19,18
S01012713,26,98,65,40,25,22,26,25,29
S01012714,37,75,41,34,32,13,23,15,24
S01012715,23,64,41,34,31,28,32,31,29
S01012716,42,110,59,34,27,15,24,17,24
S01012717,52,90,63,52,51,41,52,30,49
S01012718,41,107,62,46,26,24,26,19,34
S01012719,49,128,86,64,53,39,50,42,40
S01012720,20,57,35,36,18,26,31,18,28
S01012721,8,52,40,51,37,21,26,42,17
S01012722,14,33,28,24,37,27,46,32,52
S01012723,10,27,38,22,30,34,26,38,50
S01012724,18,66,51,43,47,34,42,30,41
