Intermediate Zone - Data Zone 2011,Owned: Owned outright,Owned: Owned with a mortgage or loan,Owned: Shared ownership (part owned and part rented),Owned: Shared Equity (e.g. LIFT or Help-to-Buy),Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,Private rented,Lives Rent Free
S01006728,70,97,1,5,130,22,3
S01006729,48,40,0,0,317,23,1
S01006730,78,90,0,7,78,11,1
S01006731,75,50,0,2,118,8,7
S01006732,180,299,5,26,98,124,6
S01006733,174,126,1,0,1,20,1
S01006734,133,169,7,1,4,38,5
S01006735,147,58,25,1,7,7,0
S01006736,122,220,6,1,13,39,0
S01006737,204,311,0,10,73,43,0
S01006738,90,235,0,12,158,357,8
S01006739,102,414,20,37,82,150,5
S01006740,109,110,0,6,81,19,4
S01006741,127,76,3,3,104,16,8
S01006742,70,69,0,1,74,8,2
S01006743,121,184,14,6,61,55,6
S01006744,93,100,0,5,50,38,5
S01006745,129,82,0,6,173,67,6
S01006746,116,114,0,0,123,28,4
S01006747,211,221,1,4,26,15,5
S01006748,212,224,12,8,241,84,12
S01006749,141,130,0,2,102,31,4
S01006750,114,91,0,1,55,18,3
S01006751,72,57,0,1,46,15,1
S01006752,130,84,1,4,86,24,2
S01006753,211,126,2,2,60,35,7
S01006754,222,124,0,1,19,24,5
S01006755,108,115,0,0,23,50,0
S01006756,62,147,0,0,4,66,2
S01006757,151,149,1,4,5,29,3
S01006758,148,117,0,2,0,36,3
S01006759,161,68,0,1,3,11,3
S01006760,106,112,1,1,0,31,0
S01006761,198,92,2,3,1,30,6
S01006762,299,293,0,5,85,52,7
S01006763,87,187,9,7,2,43,3
S01006764,134,167,5,3,2,34,0
S01006765,111,126,4,3,0,23,7
S01006766,118,97,2,1,3,13,1
S01006767,145,87,1,4,25,21,5
S01006768,130,75,0,0,0,6,0
S01006769,167,147,0,5,49,23,4
S01006770,160,92,0,3,1,9,2
S01006771,82,59,0,3,1,5,0
S01006772,191,153,0,0,1,29,1
S01006773,163,136,2,3,7,26,1
S01006774,136,72,0,2,5,5,1
S01006775,135,180,1,3,90,51,6
S01006776,82,64,0,1,124,20,5
S01006777,170,75,0,1,1,11,3
S01006778,151,84,0,2,29,20,2
S01006779,84,74,1,2,82,14,4
S01006780,93,68,1,3,47,16,3
S01006781,169,84,0,1,2,9,7
S01006782,163,142,1,1,30,48,4
S01006783,150,53,0,4,29,12,9
S01006784,129,93,1,6,5,44,5
S01006785,116,90,1,1,0,5,1
S01006786,154,136,0,1,12,24,3
S01006787,136,93,0,2,29,18,2
S01006788,150,550,1,33,72,58,10
S01006789,155,62,0,0,22,49,4
S01006790,206,69,0,1,130,38,11
S01006791,127,48,0,0,21,63,30
S01006792,56,27,0,0,5,78,26
S01006793,125,42,0,1,48,41,33
S01006794,127,70,1,0,60,19,7
S01006795,180,84,0,2,34,36,4
S01006796,175,130,1,13,24,28,8
S01006797,104,61,0,0,3,59,21
S01006798,115,67,1,1,8,51,17
S01006799,159,106,11,0,109,31,5
S01006800,187,108,0,0,6,33,8
S01006801,194,245,0,6,50,42,9
S01006802,112,90,0,1,45,61,18
S01006803,100,95,3,2,96,23,0
S01006804,107,132,0,3,34,26,4
S01006805,156,169,5,1,68,54,5
S01006806,185,169,2,6,34,65,12
S01006807,107,103,0,0,3,47,12
S01006808,131,114,0,0,6,20,5
S01006809,145,104,1,0,111,24,4
S01006810,165,113,0,1,80,34,7
S01006811,159,172,0,3,50,46,18
S01006812,134,136,0,0,39,36,9
S01006813,120,158,1,5,57,22,8
S01006814,156,132,0,1,3,11,4
S01006815,75,88,0,7,120,13,4
S01006816,128,84,0,2,49,20,6
S01006817,129,118,1,5,42,29,11
S01006818,160,102,0,3,19,29,13
S01006819,194,165,0,0,39,46,10
S01006820,126,131,0,6,32,17,3
S01006821,188,412,4,22,27,78,7
S01006822,170,180,0,2,7,51,9
S01006823,177,72,0,0,15,41,4
S01006824,86,85,0,0,167,38,7
S01006825,158,106,0,5,30,18,5
S01006826,177,98,0,2,61,15,3
S01006827,136,88,1,4,140,38,3
S01006828,180,90,0,1,108,61,11
S01006829,48,83,0,3,2,6,2
S01006830,141,84,1,3,59,21,3
S01006831,136,69,0,0,1,9,4
S01006832,232,111,0,0,51,39,3
